,Recon
534,1.0719289779663086
535,1.0483206510543823
536,1.0624470710754395
537,1.0749415159225464
538,1.1632062196731567
539,1.1645350456237793
540,1.1767107248306274
541,1.1387656927108765
542,1.123100996017456
543,1.1388942003250122
544,1.194836974143982
545,1.1087123155593872
546,1.134705662727356
547,1.2159518003463745
548,1.1276315450668335
549,1.1361638307571411
550,1.0502707958221436
551,1.0763357877731323
552,1.1221154928207397
553,1.143160343170166
554,1.0951899290084839
555,1.12700617313385
556,1.1846743822097778
557,1.0666472911834717
558,1.1442487239837646
559,1.1989516019821167
560,1.125716209411621
561,1.1411367654800415
562,1.1876285076141357
563,1.072702407836914
564,1.1138757467269897
565,1.0979673862457275
566,1.0873690843582153
567,1.0889428853988647
568,1.1276646852493286
569,1.0921984910964966
570,1.1190959215164185
571,1.1451776027679443
572,1.1455780267715454
573,1.0559583902359009
574,1.050108790397644
575,1.0849202871322632
576,1.1505646705627441
577,1.148079514503479
578,1.0975699424743652
579,1.1045464277267456
580,1.1024879217147827
581,1.1373430490493774
582,1.1042041778564453
583,1.1120737791061401
584,1.075803518295288
585,1.1108959913253784
586,1.0662710666656494
587,1.0954253673553467
588,1.0821040868759155
589,1.137434482574463
590,1.1224582195281982
591,1.0265523195266724
592,1.1159286499023438
593,1.150681495666504
594,1.0581334829330444
595,1.1298563480377197
596,1.0513447523117065
597,1.094745397567749
598,1.1048773527145386
599,1.1040246486663818
600,1.1252660751342773
601,1.0595110654830933
602,1.0629411935806274
603,1.164659023284912
604,1.078802466392517
605,1.0662823915481567
606,1.0674216747283936
607,1.078608512878418
608,1.051801323890686
609,1.1143929958343506
610,1.052341341972351
611,1.05111563205719
612,1.1416548490524292
613,1.0794761180877686
614,1.0559625625610352
615,1.025504469871521
616,1.0607802867889404
617,1.0306721925735474
618,1.0432240962982178
619,1.0808590650558472
620,1.1028505563735962
621,1.056221842765808
622,1.0560189485549927
623,1.1296278238296509
624,1.0661057233810425
625,1.0153305530548096
626,1.0225119590759277
627,1.033495306968689
628,1.0765018463134766
629,1.0957846641540527
630,1.0021750926971436
631,1.0296951532363892
632,1.02776300907135
633,1.0614206790924072
634,1.0964314937591553
635,1.0736486911773682
636,1.047402262687683
637,1.1257517337799072
638,0.9946628212928772
639,1.0809266567230225
640,1.1301816701889038
641,1.1118535995483398
642,1.0634641647338867
643,1.0323169231414795
644,1.1510586738586426
645,1.0989545583724976
646,1.0117920637130737
647,1.0272791385650635
648,1.0189684629440308
649,1.0100218057632446
650,1.0148619413375854
651,1.0653992891311646
652,1.0529319047927856
653,1.0825318098068237
654,1.0327978134155273
655,1.0595440864562988
656,1.0628026723861694
657,1.0441298484802246
658,1.0592094659805298
659,1.0875424146652222
660,1.061065912246704
661,0.979944109916687
662,1.068898320198059
663,1.0168277025222778
664,1.0097432136535645
665,1.0343908071517944
666,1.0380643606185913
667,1.066465139389038
668,0.9870300889015198
669,1.0570255517959595
670,1.0458632707595825
671,1.0579619407653809
672,1.031550645828247
673,1.0597952604293823
674,1.0364353656768799
675,1.0719786882400513
676,1.0478496551513672
677,1.0796794891357422
678,1.05649995803833
679,1.0556796789169312
680,1.0407582521438599
681,1.0744729042053223
682,1.0055543184280396
683,0.9791759848594666
684,1.0451874732971191
685,1.0727012157440186
686,1.013845682144165
687,1.0396391153335571
688,0.9732958674430847
689,1.0981987714767456
690,0.9962348937988281
691,1.0012543201446533
692,1.058867335319519
693,0.9322671294212341
694,1.0592918395996094
695,0.9993138313293457
696,1.0503380298614502
697,1.0679128170013428
698,1.0187634229660034
699,1.0330491065979004
700,1.0144588947296143
701,1.1029706001281738
702,1.0494201183319092
703,0.9976522326469421
704,1.038359522819519
705,1.0131646394729614
706,1.0554319620132446
707,1.0590031147003174
708,1.0085082054138184
709,1.0026885271072388
710,1.047846794128418
711,1.0186774730682373
712,1.021161675453186
713,0.9960201978683472
714,1.0357475280761719
715,0.9783698916435242
716,1.0141693353652954
717,1.0210561752319336
718,0.9751832485198975
719,1.0524755716323853
720,1.007105827331543
721,0.9934943914413452
722,0.9759935736656189
723,0.9954559803009033
724,0.9593040347099304
725,1.0356073379516602
726,1.0414751768112183
727,0.957304060459137
728,1.0320688486099243
729,1.0437456369400024
730,0.9790824055671692
731,0.9734947681427002
732,1.0316816568374634
733,0.9967108964920044
734,1.0202513933181763
735,1.0168466567993164
736,0.9392538070678711
737,0.9189119338989258
738,1.0056909322738647
739,1.0095858573913574
740,1.009803056716919
741,1.048671841621399
742,1.0401345491409302
743,1.0396794080734253
744,1.075891375541687
745,1.0784261226654053
746,0.9449198842048645
747,0.9460575580596924
748,1.0525333881378174
749,0.9535900950431824
750,0.9850257039070129
751,1.0165516138076782
752,1.0070548057556152
753,0.9867227673530579
754,0.9756490588188171
755,0.9747253060340881
756,0.9761432409286499
757,0.9285068511962891
758,1.0325089693069458
759,0.9710019826889038
760,1.052504539489746
761,1.027215838432312
762,0.9897688627243042
763,0.9989913105964661
764,0.9632750749588013
765,1.057942271232605
766,0.9738777279853821
767,1.0101518630981445
768,1.0318816900253296
769,1.0238471031188965
770,0.9391651749610901
771,1.0352243185043335
772,1.0370700359344482
773,0.947623610496521
774,0.9727758765220642
775,0.9687936305999756
776,1.042008876800537
777,0.9458588361740112
778,0.971035897731781
779,0.9383360147476196
780,0.9518309235572815
781,0.943192720413208
782,1.004096269607544
783,1.027997374534607
784,1.021649956703186
785,0.9723464250564575
786,0.9465801119804382
787,1.0239105224609375
788,1.008589506149292
789,1.0057544708251953
790,1.0008935928344727
791,1.0045931339263916
792,0.981131911277771
793,0.9299793839454651
794,0.9775547385215759
795,0.9948828220367432
796,0.9607141017913818
797,0.9964986443519592
798,0.9958236217498779
799,0.961744487285614
800,0.9822167754173279
801,0.9806535840034485
802,0.9661250114440918
803,1.0172410011291504
804,0.9551571011543274
805,0.9529686570167542
806,0.9702367186546326
807,0.9755533337593079
808,0.9844000935554504
809,0.9726696610450745
810,0.9554837346076965
811,0.9854393601417542
812,0.8999266624450684
813,0.9138177633285522
814,0.9910513758659363
815,0.9811557531356812
816,0.9580347537994385
817,0.9842656254768372
818,0.9238854050636292
819,0.9405785799026489
820,0.8501813411712646
821,1.0055208206176758
822,0.9553137421607971
823,0.9741104245185852
824,0.939842939376831
825,0.9828644394874573
826,0.9651170969009399
827,0.8903099298477173
828,0.9950482249259949
829,0.9807891845703125
830,0.9097446799278259
831,0.9488422274589539
832,0.9460471868515015
833,0.9485011696815491
834,0.966835081577301
835,0.9299537539482117
836,0.9628838300704956
837,0.9921611547470093
838,0.9911143183708191
839,0.9611741304397583
840,0.8816694021224976
841,0.9435098171234131
842,1.000231385231018
843,0.8996391296386719
844,0.9922650456428528
845,0.9090006947517395
846,0.9443105459213257
847,0.9542555212974548
848,0.9315569400787354
849,0.9284170269966125
