anc_idx,aug_idx,distance
67,20338,5.039414297435836
67,20339,2.9368295589283533
68,20340,2.4043951996876376
68,20341,3.212993357850815
68,20342,2.418878102516659
68,20343,4.476655812530376
68,20344,2.418878102516659
69,20345,5.985613836173931
69,20346,4.366016599476373
69,20347,3.818004493917325
69,20348,2.3734845472102846
69,20349,2.2506495547771324
70,20350,3.886084764617524
70,20351,2.1703451430487224
70,20352,2.4164357833833514
70,20353,2.506449382279361
70,20354,2.4164357833833514
71,20355,4.033339250994451
71,20356,2.3009630184675136
71,20357,3.1574221075768287
71,20358,2.2972965965565373
71,20359,2.3009630184675136
72,20360,11.913832472912041
72,20361,0.7594136261449427
72,20362,3.523524523986465
72,20363,1.8594167698019815
72,20364,1.8594167698019815
73,20365,2.6302189991006104
73,20366,3.593367354414418
73,20367,6.646605799324184
73,20368,3.0217946657027586
73,20369,3.0871003505645356
74,20370,7.616362103406079
74,20371,2.8715822300605205
74,20372,2.535029980431032
74,20373,4.333106201255035
74,20374,2.610991844880668
75,20375,6.05124887250361
75,20376,2.4869251507152246
75,20377,3.2524835662274065
75,20378,9.384346685178667
75,20379,4.5106553243592895
76,20380,1.9569713508767559
76,20381,2.503242134197339
76,20382,2.7329943349011554
76,20383,4.366133403580259
76,20384,4.366133403580259
77,20385,10.916526417219117
77,20386,2.5259120681070986
77,20387,2.6547704882705054
77,20388,3.0050027596786615
77,20389,3.0508151669149384
78,20390,2.9557187007902215
78,20391,1.9762853732781602
78,20392,2.438262597406576
78,20393,2.739375295856607
78,20394,3.167547004072049
79,20395,5.904039919010008
79,20396,2.5089029171776254
79,20397,4.412893313401338
79,20398,1.9789944403685764
79,20399,9.360686226057334
80,20400,3.6853422291052365
80,20401,3.684796950254329
80,20402,2.1986451881113256
80,20403,2.2706323667428268
80,20404,2.703983902222619
81,20405,2.6147748746098287
81,20406,2.960371578135297
81,20407,9.11388979213452
81,20408,2.2430957559383273
81,20409,4.186305138771874
82,20410,2.9699449553355497
82,20411,2.7183835589198804
82,20412,4.496712420011845
82,20413,4.496712420011845
82,20414,2.1878428471488425
83,20415,4.580226992361508
